scheme,pad,coarse_face_pad,interface,sigma,cfl,rho,G500,maxRe
A6,4,4,2:1,0.1,0.5,1.0006619982359544,9.176902214941482,0.001469116183477559
A6,4,4,2:1,0.1,1.0,0.9999999999994829,8.551769121817836,0.001469116183477559
A6,4,4,2:1,0.4,0.25,1.0002640830874898,3.722946730250872,0.0010608941713150383
A6,4,4,2:1,0.4,0.5,1.000457966961823,5.544247131750021,0.0010608941713150383
A6,4,4,2:1,0.4,1.0,0.9999999999998983,4.871557595484259,0.0010608941713150383
A6,4,3,same-level,0.0,0.25,1.000000000000008,19.888526025428046,6.050715484207103e-15
A6,4,3,same-level,0.0,0.5,1.0000000000000027,39.571157022189084,6.050715484207103e-15
A6,4,3,same-level,0.0,1.0,1.0000000000000075,79.02382394011495,6.050715484207103e-15
A6,4,3,same-level,0.05,0.25,1.0000001481459435,3.6917038490934218,5.878644801476929e-06
A6,4,3,same-level,0.05,0.5,0.9999999999998287,3.67231334825371,5.878644801476929e-06
A6,4,3,same-level,0.05,1.0,0.9999999999986632,3.638613830363447,5.878644801476929e-06
A6,4,3,same-level,0.1,0.25,1.000000496425479,2.3148171981694534,1.1709357870925974e-05
A6,4,3,same-level,0.1,0.5,0.9999999999997321,2.220292539134286,1.1709357870925974e-05
A6,4,3,same-level,0.1,1.0,0.999999999999332,2.1644108094977,1.1709357870925974e-05
A6,4,3,same-level,0.4,0.25,1.000005374907036,1.4434207845980533,4.3602261345782045e-05
A6,4,3,same-level,0.4,0.5,0.9999999999999072,1.3343482273986462,4.3602261345782045e-05
A6,4,3,same-level,0.4,1.0,0.9999999999998259,1.2456075473693975,4.3602261345782045e-05
A6,4,3,2:1,0.0,0.25,1.0018999975539886,40.323112481567385,0.007592779366806509
A6,4,3,2:1,0.0,0.5,1.0038036050986765,140.85153003570588,0.007592779366806509
A6,4,3,2:1,0.0,1.0,1.0076216776088776,1061.9981490192456,0.007592779366806509
A6,4,3,2:1,0.05,0.25,1.0003735324446126,7.549057137978998,0.0014985761068139203
A6,4,3,2:1,0.05,0.5,1.0006769916050733,9.256370357013987,0.0014985761068139203
A6,4,3,2:1,0.05,1.0,0.9999999999991438,8.789773480227986,0.0014985761068139203
A6,4,3,2:1,0.1,0.25,1.0003419703223138,5.375118756552258,0.0013723703869498172
A6,4,3,2:1,0.1,0.5,1.0006137613154018,7.212175045207511,0.0013723703869498172
A6,4,3,2:1,0.1,1.0,0.9999999999996346,6.556573775052539,0.0013723703869498172
A6,4,3,2:1,0.4,0.25,1.0002530007020194,3.948813891543884,0.001016566233673022
A6,4,3,2:1,0.4,0.5,1.0004359012294768,5.110233788513183,0.001016566233673022
A6,4,3,2:1,0.4,1.0,0.9999999999999455,4.402269979043181,0.001016566233673022
